count,pi
210,3.137546468401487
211,3.129151291512915
212,3.1323529411764706
213,3.1355311355311355
214,3.1386861313868613
215,3.130434782608696
216,3.1335740072202167
217,3.1366906474820144
218,3.139784946236559
219,3.120567375886525
220,3.1236749116607774
221,3.1267605633802815
222,3.1298245614035087
223,3.132867132867133
224,3.1358885017421603
225,3.138888888888889
226,3.141868512110727
227,3.1448275862068966
228,3.147766323024055
229,3.1506849315068495
230,3.142857142857143
231,3.145762711864407
232,3.138047138047138
233,3.140939597315436
234,3.1438127090301005
235,3.1466666666666665
236,3.1495016611295683
237,3.1315789473684212
238,3.134426229508197
239,3.1270358306188926
240,3.1298701298701297
241,3.1225806451612903
242,3.12540192926045
243,3.128205128205128
244,3.130990415335463
245,3.1337579617834397
246,3.1365079365079365
247,3.1392405063291138
248,3.141955835962145
249,3.1446540880503147
250,3.147335423197492
251,3.15
252,3.142857142857143
253,3.1358024691358026
254,3.1384615384615384
255,3.1411042944785277
256,3.1341463414634148
257,3.13677811550152
258,3.139393939393939
259,3.1419939577039275
260,3.144578313253012
261,3.1471471471471473
262,3.1497005988023954
263,3.1522388059701494
264,3.1547619047619047
265,3.1386430678466075
266,3.1411764705882352
267,3.1436950146627565
268,3.146198830409357
269,3.1486880466472305
270,3.1511627906976742
271,3.1536231884057973
272,3.1379310344827585
273,3.140401146131805
274,3.142857142857143
275,3.1363636363636362
276,3.1299435028248586
277,3.132394366197183
278,3.134831460674157
279,3.1284916201117317
280,3.13091922005571
281,3.1333333333333333
282,3.1357340720221605
283,3.138121546961326
284,3.131868131868132
285,3.1256830601092895
286,3.128065395095368
287,3.130434782608696
288,3.1327913279132793
289,3.1266846361185983
290,3.1206434316353886
291,3.1146666666666665
292,3.117021276595745
293,3.1193633952254642
294,3.121693121693122
295,3.12401055408971
296,3.126315789473684
297,3.1204188481675392
298,3.122715404699739
299,3.116883116883117
300,3.1191709844559585
301,3.1214470284237725
302,3.1237113402061856
303,3.125964010282776
304,3.128205128205128
305,3.130434782608696
306,3.13265306122449
307,3.1348600508905853
308,3.1370558375634516
309,3.1155778894472363
310,3.117794486215539
311,3.112219451371571
312,3.1144278606965172
313,3.1166253101736974
314,3.118811881188119
315,3.1209876543209876
316,3.123152709359606
317,3.1253071253071254
318,3.127450980392157
319,3.1219512195121952
320,3.124087591240876
321,3.1186440677966103
322,3.1207729468599035
323,3.1228915662650603
324,3.125
325,3.1270983213429258
326,3.1291866028708135
327,3.1312649164677806
328,3.1333333333333333
329,3.1353919239904986
330,3.137440758293839
331,3.1320754716981134
332,3.11943793911007
333,3.114219114219114
334,3.116279069767442
335,3.1183294663573085
336,3.1059907834101383
337,3.108045977011494
338,3.110091743119266
339,3.1121281464530894
340,3.1141552511415527
341,3.1161731207289294
342,3.1040723981900453
343,3.106094808126411
344,3.108108108108108
345,3.1101123595505618
346,3.1121076233183858
347,3.1140939597315436
348,3.102222222222222
