t	RE_E	IM_E	RE_P	IM_P	Alpha
285	1.1638617750845141e-06	0.122364860714274	-95.11317189815718	54.37595942440049	777.2957736897238
286	-1.890241990458956e-07	0.1289024568482669	-100.88121167046944	55.63608773068985	782.6160381375504
287	-1.5394972290085811e-06	0.13529186443745195	-106.58653251086763	56.72028475186579	787.821851043881
288	-2.8764456579009682e-06	0.14152651078205714	-112.0869275265308	57.647155778831774	791.9771017831074
289	-4.1888784648348234e-06	0.14760011735437017	-117.3364722568433	58.546817205901355	794.9506593349362
290	-5.466016487830413e-06	0.1535067100780604	-122.4302486192824	59.51023951792233	797.5425268429356
291	-6.697381786013306e-06	0.15924062880639048	-127.48781512016558	60.485348548264206	800.5825645281489
292	-7.872884393055212e-06	0.16479653597921473	-132.51052786097634	61.337869563459634	804.0678552799593
293	-8.982905735504258e-06	0.17016942444138297	-137.3759187896552	62.00534498457662	807.2698472059443
294	-1.0018378018833586e-05	0.17535462440795804	-141.97380641023346	62.567324018149684	809.6178348504794
295	-1.0970858920073796e-05	0.1803478095644442	-146.3269718097306	63.152662252720525	811.3385459993502
296	-1.1832600965544999e-05	0.1851450022930608	-150.5588388645625	63.79180947729849	813.1721594209192
297	-1.2596615018374889e-05	0.18974257801891647	-154.74697873466323	64.38340708689012	815.5402197432737
298	-1.3256727351229798e-05	0.19413726867276446	-158.8311166092257	64.81190587236566	818.1154048994381
299	-1.3807629834614398e-05	0.19832616526983737	-162.68000278029214	65.08004693377099	820.24210393201
300	-1.4244922829950661e-05	0.20230671960703542	-166.23884814017586	65.30475741698552	821.694155129215
301	-1.4565150439210348e-05	0.20607674508349727	-169.58799871736224	65.58281244264022	822.913631137543
302	-1.4765827827853576e-05	0.2096344166522812	-172.84692992611863	65.88123615517165	824.4938565544502
303	-1.4845460405117532e-05	0.21297826991353352	-176.03505620968775	66.07729233089	826.5183559202367
304	-1.4803554715255985e-05	0.2161071993620925	-179.04882210300914	66.10060178469236	828.497587472503
305	-1.4640620963321294e-05	0.21902045580498863	-181.77985135629868	66.01387034171002	829.9473084326262
306	-1.4358167169518287e-05	0.2217176429667186	-184.23755328572562	65.9407564533387	830.9365001543738
307	-1.3958685017587551e-05	0.22419871330248864	-186.53610636274396	65.92505335947736	831.9940751519263
308	-1.3445627531640019e-05	0.22646396304186586	-188.76226803329433	65.88281509845982	833.5028374287868
309	-1.2823378785323395e-05	0.22851402648737157	-190.876373660429	65.70102183388703	835.2777686788347
310	-1.209721591324071e-05	0.2303498695945788	-192.75921527461296	65.36839276395847	836.7957062433508
311	-1.127326375925367e-05	0.23197278286213047	-194.349573490088	64.98855443247781	837.79835013978
312	-1.0358442557364809e-05	0.23338437356187708	-195.7142631101848	64.66186123481741	838.5796778527895
313	-9.36040909871722e-06	0.23458655734093262	-196.97143783628294	64.37235193345626	839.6426086270327
314	-8.28749189184724e-06	0.2355815492289467	-198.15641501980016	64.00891498273853	841.1276844984139
315	-7.148620872795669e-06	0.23637185408523814	-199.18393731034337	63.494974178091965	842.6638510463602
316	-5.953252266080659e-06	0.236960256521629	-199.9489008347146	62.87732428554555	843.8010827219697
317	-4.711289236675814e-06	0.23734981033788624	-200.44892815332656	62.273073814327056	844.5243402381401
318	-3.432999007074107e-06	0.23754382750758174	-200.78849662282533	61.736872016657266	845.2655093685729
319	-2.128927141100209e-06	0.2375458667529463	-201.06119344935382	61.20098668730591	846.4076756531628
320	-8.098097183898965e-07	0.23735972174790257	-201.24594667554044	60.55589970831353	847.8512638548597
321	5.13515861386213e-07	0.2369894089889281	-201.23563674895897	59.77780471310154	849.1340061773882
322	1.8302006953685205e-06	0.2364391553737098	-200.96395865252887	58.95681346966267	849.9624974928033
323	3.1294740639920864e-06	0.2357133855277268	-200.48450865800987	58.194699717601296	850.5468656435934
324	4.40073223847255e-06	0.23481670891890932	-199.9122199623092	57.490414879408476	851.3589098844893
325	5.633625670480559e-06	0.2337539068004155	-199.29551741079447	56.74432679789301	852.5927442208242
326	6.818143841159226e-06	0.23252991902129516	-198.56600723632957	55.87508254480116	853.9444999030003
327	7.944697068355365e-06	0.23114983074442638	-197.62237182379732	54.91435952684152	854.9617292766568
328	9.004194598919953e-06	0.22961885911057478	-196.45118008390415	53.971446094179555	855.5625481304655
329	9.988118345976324e-06	0.22794233988677773	-195.14614738045836	53.10947682362945	856.130871897587
330	1.0888591670000488e-05	0.22612571413648047	-193.80486687750815	52.275680625322764	857.0780390450948
331	1.1698442645865727e-05	0.22417451494795415	-192.42228522581598	51.364806150781185	858.3712791570359
332	1.2411261306126487e-05	0.22209435425652965	-190.90269672296935	50.34186969650838	859.5693934321854
333	1.3021450403134125e-05	0.21989090979507267	-189.17533161403955	49.28331993443628	860.3277396755125
334	1.3524269288348737e-05	0.21756991220591956	-187.28035984335978	48.2903870428996	860.7962331681873
335	1.3915870566209387e-05	0.21513713234620505	-185.32728730455236	47.374943134589444	861.4521765520645
336	1.4193329241671334e-05	0.21259836881712282	-183.374563043975	46.448617196684964	862.5544222841488
337	1.4354664144155844e-05	0.20995943574622217	-181.3687909496982	45.42657913072625	863.8425570907132
338	1.4398851476467186e-05	0.20722615085030255	-179.212434944579	44.32621675724816	864.8305886878995
339	1.4325830402892315e-05	0.2044043238048982	-176.88134375344788	43.247948257812695	865.3651285690387
340	1.4136500658212011e-05	0.20149974494469286	-174.45724144140576	42.26125572904793	865.8085672962102
341	1.383271222562664e-05	0.19851817431753419	-172.03885540701572	41.32715023778312	866.6296415019297
342	1.341724719784956e-05	0.19546533111298164	-169.6344496232004	40.345356634149304	867.8634582812589
343	1.2893794000100755e-05	0.19234688348457643	-167.15879731524635	39.27106928656191	869.0623213399491
344	1.2266914217257567e-05	0.18916843878324574	-164.53704325778764	38.167121484289666	869.8042793453519
345	1.1542002327498636e-05	0.18593553421745895	-161.79567613231157	37.13253507087818	870.1832127070793
346	1.0725238702969007e-05	0.18265362795395837	-159.03670823314087	36.190316089371386	870.7126955294369
347	9.82353629282242e-06	0.17932809067108632	-156.32567860709054	35.26317450236506	871.7407811489734
348	8.84448145449131e-06	0.1759641975749407	-153.62234048062157	34.26410403409458	873.0415870102278
349	7.796269445781096e-06	0.17256712088680448	-150.83288151058883	33.19717407319374	874.0621053170544
350	6.6876351332478795e-06	0.1691419228085535	-147.92282601405066	32.15318445195849	874.5560805891278
351	5.5277795089136746e-06	0.1656935489709938	-144.96094579772677	31.206124248318815	874.8800880822455
352	4.3262926401105945e-06	0.16222682236839966	-142.04459443135121	30.329750358462597	875.5975189277204
353	3.0930737042658633e-06	0.15874643778085246	-139.19292957274646	29.429498480689467	876.8291426304586
354	1.8382487814787043e-06	0.15525695668437417	-136.3304192543989	28.452181846288553	878.0975681975137
355	5.720870933534609e-07	0.1517628026472741	-133.3786695352242	27.447319451722606	878.8634017856783
356	-6.950836131938607e-07	0.14826825720962014	-130.35057292421666	26.510393851392585	879.1527673787627
357	-1.952961835132398e-06	0.14477745624129773	-127.33907847350692	25.673993766258324	879.5480693567824
358	-3.1913565349540934e-06	0.14129438677271863	-124.41436546533951	24.871806412456795	880.5289896832817
359	-4.400270122345954e-06	0.13782288429092557	-121.5478355731271	24.015993701784065	881.9077420714995
360	-5.569979516356252e-06	0.1343666304925799	-118.64961503324633	23.09845073413948	883.0217508665853
361	-6.691114628800819e-06	0.13092915148414339	-115.6756695942324	22.19992189497543	883.4895319890496
362	-7.754733632483987e-06	0.12751381641844567	-112.68140305541972	21.397357507668506	883.6697428286602
363	-8.752394409093056e-06	0.12412383655581004	-109.76089896284267	20.676366699522738	884.2736697614429
364	-9.676221604855494e-06	0.1207622647369575	-106.9422953061965	19.948861750119267	885.5472893459516
365	-1.0518968761969079e-05	0.1174319952540239	-104.15934620003104	19.154801992490064	886.9612523228185
366	-1.1274075036717082e-05	0.1141357641052503	-101.3310430564418	18.330931994326356	887.7956193112129
367	-1.193571606246469e-05	0.1108761496181834	-98.45728995706158	17.568169308872243	887.9763407894307
368	-1.2498848565908156e-05	0.10765557342560217	-95.62105168738357	16.907338675991614	888.1944929384895
369	-1.295924839924118e-05	0.10447630177782928	-92.89531254207274	16.293051624290012	889.132640998355
370	-1.3313541706073417e-05	0.1013404471746251	-90.26208736145524	15.638000816153195	890.661467231686
371	-1.355922899741183e-05	0.09824997029947158	-87.6360341888336	14.923189127201587	891.949104322259
372	-1.3694701973524383e-05	0.09520668223873782	-84.96477990913073	14.219131360403638	892.4030419681997
373	-1.3719252988275323e-05	0.09221224696799013	-82.29054524560475	13.604434573868588	892.38167461072
